Date,Description,Category,Amount,Unit,Cost
2023-01-05,CON EDISON SVCS,Utilities,12500,kWh,1500.00
2023-01-12,DELTA 0062345892,Travel,3500,miles,850.50
2023-01-15,AWS EMEA SARL,IT Infrastructure,500,hours,2400.00
2023-01-20,STAPLES 1245,Supplies,50,kg,320.00
2023-01-25,EXXONMOBIL 5543,Automotive,45,gallons,160.00
2023-02-05,NATIONAL GRID,Utilities,200,therms,250.00
2023-02-14,UBER TRIP Q545,Travel,15,miles,35.00
2023-02-22,DELL MARKETING LP,IT Equipment,5,items,6000.00
2023-03-01,SHELL STATION 23,Automotive,50,gallons,180.00
2023-03-08,WM RECYCLE AMERICA,Facilities,500,kg,120.00
2023-03-15,UNITED AIR 01623,Travel,2500,miles,600.00
2023-04-12,AUBONPAIN CATERING,Meals,150,meals,2000.00
2023-04-20,ACME BUS CORP,Services,200,miles,450.00
2023-04-22,HP INC INVOICE,Hardware,1,item,15000.00
2023-04-25,FEDEX 7789234,Shipping,120,kg_per_mile,200.00
2023-05-01,WEWORK NYC 45,Rent,1,month,5000.00
2023-05-05,OGILVY & MATHER,Professional Svcs,1,month,3000.00
2023-05-10,REPUBLIC SVCS,Facilities,300,kg,150.00
2023-05-15,SALESFORCE.COM INC,Software,50,users,1200.00
2023-05-20,CAT RENTAL STORE,Equipment,1,month,4000.00
2023-06-01,ZOOM VIDEO COMM,Software,20,licenses,400.00
2023-06-05,MCMASTER-CARR,MRO,10,items,500.00
2023-06-12,HILTON HOTELS,Lodging,3,nights,750.00
2023-06-18,BP CONNECT,Fuel,30,gallons,110.00
2023-07-01,IRON MOUNTAIN,Storage,50,boxes,200.00
